count,frequency,tag
1726,0.20452660267804243,normal
421,0.049887427420310465,opacity
396,0.04692499111269108,degenerative change
330,0.0391041592605759,atelectases
321,0.038037682189832916,atelectasis
292,0.034601256072994434,scarring
258,0.030572342694632066,cardiomegaly
218,0.025832444602441048,calcified granuloma
148,0.017537622941106765,granuloma
135,0.015997156061144685,pneumonia
133,0.015760161156535134,pleural effusion
114,0.0135087095627444,sternotomy
99,0.01173124777817277,pleural effusions
92,0.010901765612039342,infiltrates
91,0.010783268159734566,pulmonary emphysema
83,0.009835288541296363,emphysemas
81,0.009598293636686812,nodule
78,0.009242801279772485,granulomatous disease
76,0.009005806375162934,diaphragm
76,0.009005806375162934,deformity
74,0.008768811470553382,emphysema
73,0.008650314018248608,pulmonary edema
69,0.008176324209029506,thoracic aorta
63,0.007465339495200853,osteophytes
60,0.007109847138286527,hiatal hernia
51,0.006043370067543548,thoracic vertebrae
48,0.005687877710629221,fracture
47,0.005569380258324446,rib fracture
45,0.005332385353714895,tortuous aorta
45,0.005332385353714895,bilateral pleural effusion
43,0.005095390449105344,aorta
42,0.004976892996800568,edemas
41,0.004858395544495794,calcinosis
38,0.004502903187581467,copd
38,0.004502903187581467,"pulmonary disease, chronic obstructive"
38,0.004502903187581467,scar
38,0.004502903187581467,pneumothorax
37,0.004384405735276691,effusion
36,0.004265908282971916,edema
35,0.004147410830667141,pleural thickening
34,0.004028913378362365,pulmonary atelectasis
32,0.0037919184737528143,eventration
32,0.0037919184737528143,congestion
31,0.0036734210214480387,rib fractures
30,0.0035549235691432635,scolioses
30,0.0035549235691432635,hyperinflation
29,0.003436426116838488,cabg
29,0.003436426116838488,arthritic changes
28,0.0033179286645337127,ribs
27,0.003199431212228937,infection
26,0.0030809337599241615,"catheterization, central venous"
26,0.0030809337599241615,vascular calcification
26,0.0030809337599241615,scoliosis
26,0.0030809337599241615,spine
25,0.0029624363076193863,osteopenia
25,0.0029624363076193863,hyperexpansion
23,0.0027254414030098355,pericardial effusion
22,0.00260694395070506,central venous catheters
22,0.00260694395070506,surgery
22,0.00260694395070506,"fractures, bone"
21,0.002488446498400284,lumbar vertebrae
20,0.002369949046095509,aortic calcifications
20,0.002369949046095509,degenerative disc diseases
20,0.002369949046095509,cholecystectomies
20,0.002369949046095509,"aorta, thoracic"
17,0.0020144566891811826,hypoventilation
17,0.0020144566891811826,focal atelectasis
16,0.0018959592368764072,ectasia
16,0.0018959592368764072,kyphoses
16,0.0018959592368764072,thoracic spondylosis
